feature,importance
Contract_Month-to-month,0.07931426396772863
Contract_Two year,0.057307249850542655
Online Security_No,0.057119758036556924
Tenure Months,0.05529649326123839
Tech Support_No,0.054487111725456595
Dependents_No,0.04026889804247151
Dependents_Yes,0.036995697609805214
Streaming TV_No internet service,0.03379400619141821
Monthly Charges,0.0270610961925342
Internet Service_Fiber optic,0.02648888365454989
Paperless Billing_No,0.026239892600305736
Online Backup_No internet service,0.025308793961844364
Tech Support_No internet service,0.021939145697644866
Internet Service_DSL,0.021683149453968924
Contract_One year,0.021046943075825934
Payment Method_Electronic check,0.02094398813848009
Internet Service_No,0.020923632063875864
Paperless Billing_Yes,0.020199543377741793
Streaming Movies_No internet service,0.01996232061480461
Online Backup_No,0.019138134789871808
Online Security_No internet service,0.016826580696919103
Device Protection_No internet service,0.016422080871267616
Device Protection_No,0.015157075826802603
Payment Method_Bank transfer (automatic),0.013964688784863726
Online Security_Yes,0.013739639672482304
Tech Support_Yes,0.011701939429865377
Senior Citizen_No,0.011323292795125058
Online Backup_Yes,0.010422039218223919
Partner_Yes,0.010276145021865603
Payment Method_Credit card (automatic),0.008180491677578219
CLTV,0.008085686787176614
Streaming Movies_No,0.006841078469264772
Streaming TV_No,0.006126378692477374
Senior Citizen_Yes,0.005942273695696591
Partner_No,0.00567085436241588
Streaming Movies_Yes,0.0035961978948116807
Streaming TV_Yes,0.00318985625838859
Device Protection_Yes,0.002672632199041554
Payment Method_Mailed check,0.0022669807594539507
Phone Service_Yes,0.0018210888294244232
Total Charges_70.3,0.0016681229155591924
Total Charges_2362.1,0.001207599564626402
Total Charges_20.15,0.001170455109528253
Total Charges_90.55,0.0011215675480614998
Multiple Lines_Yes,0.0010752742889365895
Multiple Lines_No,0.0010675447771422493
Total Charges_71.35,0.0010435088741171314
Phone Service_No,0.0010163855667976519
Total Charges_69.8,0.0010133352803077702
Total Charges_91.7,0.0010045205067702589
Total Charges_20.1,0.0009519332951008998
Total Charges_170.85,0.0008954253466467818
Total Charges_92.45,0.0008647511934956872
Total Charges_467.55,0.0007771383183792077
Total Charges_6579.05,0.0007605480457447788
Total Charges_20.95,0.0007599877413270891
Total Charges_19.6,0.0007407960867024102
Total Charges_24.05,0.000718777432051005
Total Charges_880.2,0.0006958684948445858
Total Charges_70.1,0.0006748666660238252
Total Charges_69.65,0.0006674895493544395
Total Charges_45.65,0.0006666879070120742
Total Charges_1060.2,0.0006543855022348227
Total Charges_18.85,0.0006537726837114226
Total Charges_77.5,0.0006471406979605638
Total Charges_1604.5,0.0006465710721746541
Total Charges_5036.3,0.0006239919974800367
Total Charges_3825.85,0.000609165041882873
Total Charges_50.8,0.0006069611058159395
Total Charges_54.35,0.0006025055640763028
Gender_Female,0.0005994728727560646
Total Charges_134.5,0.0005974057175835463
Total Charges_679.3,0.0005900485306677218
Total Charges_44.7,0.0005892409383880909
Total Charges_75.3,0.0005877596142947
Total Charges_3030.6,0.0005870711853616803
Total Charges_19.9,0.0005688849062794888
Total Charges_449.75,0.0005668768540839321
Total Charges_396.1,0.0005548332277889004
Total Charges_333.55,0.0005543834992353983
Total Charges_113.85,0.000549350056375543
Total Charges_217.55,0.0005489742604862037
Total Charges_8684.8,0.0005425665843334671
Total Charges_947.3,0.0005394710391483192
Total Charges_374.5,0.0005380607951088396
Total Charges_6144.55,0.0005364612665038157
Total Charges_4254.85,0.000533818110054041
Total Charges_1454.15,0.0005335380648524485
Total Charges_5356.45,0.0005225283078925613
Total Charges_994.55,0.0005080899540019481
Total Charges_261.25,0.0005007970938947364
Total Charges_1496.9,0.0004969509246129061
Total Charges_55,0.0004938769934377379
Total Charges_416.45,0.00048786131150498746
Gender_Male,0.0004772560883174425
Total Charges_20.5,0.000473363066939097
Total Charges_409.9,0.00047099321238037393
Total Charges_837.95,0.00046969998697312586
Total Charges_1515.1,0.0004586459853144631
Total Charges_40.1,0.00045850637626500225
Total Charges_2530.4,0.0004580486787087715
Total Charges_155.65,0.0004536786174303071
Total Charges_1145.35,0.0004485400070044046
Total Charges_69.55,0.0004469380470264987
Total Charges_168.15,0.0004460897660356451
Total Charges_402.6,0.0004424854959564832
Total Charges_385.9,0.00044151644364405924
Total Charges_1888.65,0.0004400622791137759
Total Charges_99.75,0.00043747783196719086
Total Charges_225.6,0.00043668381814490165
Total Charges_73.55,0.0004348474132476269
Total Charges_93.7,0.0004307684467369548
Total Charges_31.35,0.00042930269207050963
Total Charges_3692.85,0.0004275565504157871
Total Charges_740.3,0.00042014947597173244
Total Charges_74.9,0.0004122558823167247
Total Charges_193.6,0.0004099029793809666
Total Charges_24.8,0.00039938059611973334
Total Charges_522.95,0.0003971546991562633
Total Charges_76.35,0.0003967213284944601
Total Charges_4092.85,0.0003965099050022216
Total Charges_35.25,0.000395642540474539
Total Charges_214.75,0.0003946496854211866
Total Charges_4338.6,0.0003920161082646159
Total Charges_5794.65,0.0003853868014002123
Total Charges_418.8,0.00038522127949538093
Total Charges_952.3,0.00037926734727050367
Total Charges_7250.15,0.00037666678004531507
Total Charges_5082.8,0.000373689172710425
Total Charges_45.3,0.0003727087021386393
Total Charges_706.85,0.0003717255618255151
Total Charges_654.85,0.0003708040402088576
Total Charges_2375.4,0.0003708012041249341
Total Charges_1099.6,0.0003669738143659574
Total Charges_5746.15,0.00036378218588398295
Total Charges_74.7,0.00036245391434403874
Total Charges_1625,0.0003595249784299359
Total Charges_365.35,0.0003592751320860896
Total Charges_85.5,0.0003584061199605427
Total Charges_2952.85,0.0003580206878377331
Total Charges_2317.1,0.00034776269809493597
Total Charges_2917.5,0.00034300484358016557
Total Charges_853,0.00034242983283229445
Total Charges_370.65,0.00034229872474861095
Total Charges_6205.5,0.0003382219553217741
Total Charges_937.6,0.0003341881789920473
Total Charges_19.45,0.00033397736044696644
Total Charges_140.7,0.00032761790837303173
Total Charges_2010.55,0.0003269860090632947
Total Charges_5373.1,0.00032531976165223636
Total Charges_79.35,0.0003242773437951011
Total Charges_2587.7,0.00032279596892761627
Total Charges_489.45,0.0003179332396606902
Total Charges_4346.4,0.00031750343310891013
Total Charges_6886.25,0.0003162836091298739
Total Charges_2497.35,0.0003162613376894823
Total Charges_1152.7,0.00031612915328758966
Total Charges_70.85,0.00031611396561369553
Total Charges_154.65,0.00031367194654082685
Total Charges_5293.2,0.0003095743557126008
Total Charges_1157.05,0.00030943108873385857
Total Charges_387.2,0.00030826760577936106
Total Charges_134.7,0.0003075460596965494
Total Charges_1214.05,0.00030562328041700525
Total Charges_2497.2,0.0003045856765381935
Total Charges_4820.15,0.00030456442910371855
Total Charges_1120.3,0.0003028411849656443
Total Charges_242.95,0.00030243821652829007
Total Charges_5124.55,0.0003015269030044588
Total Charges_35.05,0.00029961024263791005
Total Charges_288.05,0.00029939343147342986
Total Charges_4029.95,0.00029911392395813585
Total Charges_181.6,0.0002961004971173342
Total Charges_20.55,0.000293429209905035
Total Charges_245.2,0.0002934071235286173
Total Charges_889.9,0.0002904759507622618
Total Charges_5509.3,0.0002860925435451162
Total Charges_442.2,0.0002851572387361511
Total Charges_144.15,0.0002817576564517715
Total Charges_521.1,0.0002802204870916391
Total Charges_506.9,0.0002786256273568395
Total Charges_20.2,0.0002757737984094044
Total Charges_48.55,0.0002754386225028243
Total Charges_126.05,0.00027457493263433015
Total Charges_667.7,0.0002707451829058912
Total Charges_754.65,0.00026776686581367896
Total Charges_20.6,0.00026727410716555433
Total Charges_6110.2,0.0002648381678854198
Total Charges_989.45,0.0002626257323992003
Total Charges_33.2,0.0002619466817852757
Total Charges_69.75,0.0002616511412982527
Total Charges_2407.3,0.00026159568947336685
Total Charges_1836.25,0.00026001166684769137
Total Charges_941,0.0002590318392200275
Total Charges_2498.4,0.00025729554505184605
Total Charges_2319.8,0.0002551297777212163
Total Charges_1334,0.00025504573033361934
Total Charges_3754.6,0.0002546401488646437
Total Charges_1200.15,0.00025384063807957726
Total Charges_438.4,0.0002533755588362807
Total Charges_1062.1,0.0002522522849496833
Total Charges_3152.5,0.0002497103185212261
Total Charges_740.8,0.0002484705979492015
Total Charges_3640.45,0.0002477281615223196
Total Charges_2030.3,0.00024572005638791886
Total Charges_2070.6,0.0002456883823616927
Total Charges_480.6,0.00024437640708588543
Total Charges_3862.55,0.00024432100062219374
Total Charges_438.25,0.0002442252339724651
Total Charges_2757.85,0.00024337855483853217
Total Charges_1129.1,0.00024317980080179624
Total Charges_43.3,0.00024277582340961272
Total Charges_1777.9,0.00024249236969695406
Total Charges_23.45,0.00024120860844685976
Total Charges_5037.55,0.0002404661617846563
Total Charges_80.55,0.00024020904120510242
Total Charges_68.65,0.0002396861942042884
Total Charges_3527.6,0.0002383957244676324
Total Charges_94.6,0.00023621264992954358
Total Charges_45.7,0.00023396210777982987
Total Charges_69.1,0.0002331786226403666
Total Charges_267.4,0.0002330104291585716
Total Charges_293.65,0.00023002959826501872
Total Charges_294.45,0.00022719217999430218
Total Charges_4750.95,0.00022713456049408147
Total Charges_5438.9,0.00022560351936140238
Total Charges_63.75,0.00022541129415440945
Total Charges_94.4,0.00022504738649796523
Total Charges_1553.95,0.0002249965607366206
Total Charges_2239.65,0.00022371524389222912
Total Charges_6283.3,0.00022332823225395875
Total Charges_82.3,0.00022232348545018663
Total Charges_1424.5,0.00022209493336323513
Total Charges_803.3,0.00022188466597072103
Total Charges_2483.05,0.0002205007874624281
Total Charges_3994.45,0.00021918302664479284
Total Charges_6786.4,0.00021777610079539586
Total Charges_3655.45,0.00021481972040613646
Total Charges_85.8,0.0002132151903869854
Total Charges_36.45,0.0002121265308997851
Total Charges_108.05,0.0002120514289899182
Total Charges_165.45,0.00021178683717069423
Total Charges_347.65,0.00021043545654573205
Total Charges_4749.15,0.0002100203564668075
Total Charges_4348.65,0.00020985556933109014
Total Charges_165,0.00020977357612178885
Total Charges_1389.2,0.0002096545292255574
Total Charges_79.55,0.00020944774001759392
Total Charges_139.35,0.00020853320415815715
Total Charges_219,0.00020814982042920548
Total Charges_523.5,0.0002069257903124094
Total Charges_44.9,0.00020438126448041221
Total Charges_7689.95,0.00020292878775786326
Total Charges_418.4,0.0002027132450826817
Total Charges_2169.8,0.00020117780290479381
Total Charges_5265.1,0.00020110336433606113
Total Charges_20.9,0.00020036673193568564
Total Charges_266.9,0.00019970830111592426
Total Charges_20.85,0.0001995534315949304
Total Charges_58.85,0.0001994801534757921
Total Charges_7804.15,0.00019886974588550243
Total Charges_137.6,0.00019836470576600572
Total Charges_69.35,0.00019772703297509303
Total Charges_79.05,0.0001974923797163871
Total Charges_104.2,0.00019694142396643077
Total Charges_1574.45,0.00019567275139342887
Total Charges_201,0.0001953189273450566
Total Charges_19.55,0.00019487012780445854
Total Charges_308.7,0.000192789860202864
Total Charges_29.7,0.00019220002803336595
Total Charges_93.85,0.0001918042240450837
Total Charges_4211.55,0.00019147643337026624
Total Charges_291.4,0.00018993407466689216
Total Charges_608,0.0001896890374325122
Total Charges_6941.2,0.00018889016163162772
Total Charges_1914.9,0.0001883177272134467
Total Charges_5017.9,0.00018782817379033408
Multiple Lines_No phone service,0.00018709201144974128
Total Charges_44.4,0.00018685619600834278
Total Charges_2043.45,0.00018537921436449515
Total Charges_7723.9,0.0001843749624345794
Total Charges_2467.75,0.0001841860716669342
Total Charges_6615.15,0.00018277786345738197
Total Charges_1617.5,0.00018270142973630268
Total Charges_183.75,0.00018228676452748807
Total Charges_545.15,0.00018221827068892112
Total Charges_3124.5,0.00018126715197564654
Total Charges_788.8,0.00018119614551438272
Total Charges_6125.4,0.00018086387874388085
Total Charges_159.4,0.00018081955262847548
Total Charges_4541.2,0.00018019778976263734
Total Charges_5643.4,0.00017995138546615552
Total Charges_738.2,0.00017993952986625208
Total Charges_583.45,0.00017736282824790266
Total Charges_810.2,0.00017725215962556372
Total Charges_25.8,0.00017430483297563692
Total Charges_840.1,0.00017390669196745294
Total Charges_50.9,0.00017235781830481317
Total Charges_1147.45,0.00017102798244709124
Total Charges_321.75,0.00017079190196583286
Total Charges_84.5,0.00017042519221379155
Total Charges_1054.6,0.00016977179976797703
Total Charges_890.6,0.00016767120264472648
Total Charges_2460.15,0.0001670658739066495
Total Charges_434.5,0.0001669756208741475
Total Charges_412.5,0.0001652693439571768
Total Charges_309.1,0.00016466162676532565
Total Charges_655.85,0.00016459162965182318
Total Charges_582.5,0.00016456273800321145
Total Charges_246.3,0.00016454270903106002
Total Charges_315.3,0.00016447379822867616
Total Charges_4045.65,0.0001641936538824201
Total Charges_5154.6,0.0001639453660531168
Total Charges_4600.7,0.00016278049398594566
Total Charges_799.65,0.00016058824859392843
Total Charges_539.85,0.00016038391285751224
Total Charges_5485.5,0.00016035509301128863
Total Charges_39.65,0.00016016407265275655
Total Charges_663.05,0.00015967480383547006
Total Charges_6581.9,0.00015925562717655908
Total Charges_415.05,0.00015909396615780314
Total Charges_30.2,0.00015803412991643008
Total Charges_4481,0.000157592163365471
Total Charges_131.05,0.00015742654691549302
Total Charges_824.75,0.0001562562945871863
Total Charges_389.6,0.0001556709357984224
Total Charges_2954.5,0.00015429276601198346
Total Charges_1582.75,0.00015381837026993183
Total Charges_810.7,0.00015337018791976482
Total Charges_706.6,0.00015294164416388095
Total Charges_655.5,0.00015269864407328258
Total Charges_3361.05,0.00015210904491083166
Total Charges_19.5,0.0001519595705537528
Total Charges_7752.3,0.00015165384324146262
Total Charges_69.95,0.00015163548242345528
Total Charges_6287.25,0.00015117475136837942
Total Charges_154.3,0.00015109770637058363
Total Charges_5426.85,0.00015028220771755687
